"Land_system_names","Land_use","lon","lat","BIO1_Annual_Mean_Temperature","BIO11_Mean_Temperature_Coldest_Quarter","BIO6_Min_Temperature_Coldest_Month","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","BIO10_Mean_Temperature_Warmest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO7_Temperature_Annual_Range","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","Landform_sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"shrub",80,4954284,5352465,-1.75800879467523,-1.53745659240062,-1.35545960483653,-0.611027628154376,-0.813762199457908,-1.70274813318557,-0.361284047444823,-0.488432298236799,-0.179999072628347,-0.157392061463351,-0.451858350908762,-0.304649828561061,0.137260197198662,-0.177731006717093,-1.5372134136197,-2.11462292275365,0.778231151683896,-1.80802985066183,0.175706560038883,-0.236390910239942,-0.109523440125585,-0.754333535167627,-0.312300069776142,-0.806388343819345,-0.23222808631924,-1.56204489887389,-0.702692885361596,1.57039593611813,1.11950816508451,1.17079691439616,-2.05367940558534,-0.440573849171931,-0.463722322791387,-3.01006257502658,-2.01992184711808,2.10733749416956,-0.196025051751297,-3.71554204718293,2.06226611416559,-2.33068214726862,-2.44229611775521,"low","none","0","1"
"shrub",80,4958284,5341465,-1.65036819323475,-1.53684972555846,-1.38082427395254,-0.429111249587758,-0.749957420428723,-1.47634084053441,-0.840451090138078,-0.886673776550234,-0.562995399334467,-0.0257633297761901,-0.89026499451636,-0.708847581408244,-0.20043904523653,-0.779400720357047,-1.4210250696574,-2.12291276585118,1.05094678214149,-1.5961291770021,0.436222791807267,-0.00835379723007901,1.34908121726175,-0.865181603540486,0.0742347294050325,-0.988178794238822,-0.290782974399826,-0.354138423833392,0.0254104243643139,1.24896872174976,0.425769871703188,0.346413977419263,0.594428311623109,-0.0525143686990693,-0.467472904345173,0.231413398031409,0.927835525622398,0.690697708696627,-2.33879138301039,-0.0351133779714176,0.973285342491614,0.909312356817585,-0.707066769364117,"low","none","0","1"
"wetland",12,4957284,5336465,-1.67867300711322,-1.55698588450877,-1.39266844772178,-0.460488105235769,-0.767193040429311,-1.50739076051994,-0.791644171738833,-0.796475214527943,-0.509004912125158,0.0199630371751969,-0.831579891225727,-0.666999861562208,-0.125970485930437,-0.752010135409148,-1.44487654708152,-2.13027878871843,1.0381463761017,-1.62310633763697,0.426055280838109,-0.193647962052818,-0.650121992289656,-0.869520381666924,-0.620812109290568,-1.06883371927674,-0.379010849039806,-0.768681679887994,1.49567323190015,1.25472536101453,0.939579278246938,1.11911249787513,-2.28841782174684,0.824391524300824,0.748890564665141,-2.29796136997647,-1.8478624656201,-1.10263839159443,-2.43285315739731,-2.58476447965489,1.32193793755345,-2.19476537407539,-2.4672171788872,"low","none","0","1"
"low-intensity forest",41,4870284,5332465,-1.48537617384768,-1.31571579289605,-1.15832806164242,-1.1549816166683,-0.228663494760115,-1.42891223380891,-0.694976741281085,-0.828630302260594,-0.401095478804926,-0.645583760840669,-0.888787329526842,-0.471208084292113,-0.444612275151037,-0.326253942906379,-1.66052962748189,-2.18810235692025,0.691774532042385,-1.64705738401636,0.0434051804904219,-0.163190931559257,-0.19208214393174,-1.74527161983956,0.259577407598291,0.0122668389254022,-0.647630298725941,-0.703016262680448,-0.444418870783441,1.24592895312913,-0.673453261620969,0.636715056249213,-0.23971921907008,-0.515925873905307,-0.131864551422823,-0.077223697380588,1.5862491126652,1.47661892975746,-2.47789934341577,-0.389703473486107,0.766378657335443,1.18701476394247,-0.743949405154106,"low","low","0","2"
"wetland",12,4873284,5316465,-1.70004768892666,-1.58599104438743,-1.44247891004834,-1.34606341613348,-0.763263920532494,-1.491223997638,-0.563151050151537,-0.765138142756196,-0.255005436675228,-0.607018169235207,-0.734446686249195,-0.370749088334317,-0.214715586697659,-0.252202432016786,-1.43170808619573,-2.14820126205288,1.10759497856466,-1.65011720932474,0.473791162816326,-1.04842795522074,-1.07631051046042,-0.615666946670581,-0.743510355610393,-0.377006681916918,-1.58618643761205,-0.798949836975859,0.170751603510368,1.82233647793131,0.312920836294403,1.37019171881692,0.33144337298361,-0.727116464980424,-1.18677007693702,0.00261683793232243,0.0346262383602042,1.1127230001857,-1.70377964851247,-0.631507130889677,0.533657138630448,0.245913122472207,0.174916015845338,"low","none","0","1"
"shrub",80,4847284,5315465,-1.74116613501285,-1.66860661929372,-1.54053148367072,-3.84470696282927,-0.29354206520111,-1.46790007410522,-0.306456382878325,-0.464684279800706,-0.0401614810083626,-0.646396025918885,-0.532846985426357,-0.111409962727743,-0.230976896041354,0.217696043511304,-1.3433328257031,-2.16216971262832,1.32676411560398,-1.62150922177991,0.653356849079938,0.0368466089051872,-1.15228365936323,-0.856567467654519,-0.99793696745847,0.21853925587101,-0.465452371210022,-0.792299222902955,0.337599537725856,0.237898804131345,0.31842906254519,-0.520674102050132,-0.651265454120789,-1.35658277279147,-1.39608152424069,-0.419454952132347,-0.70446395707041,-0.29466314525038,-1.60873587422419,-1.47649571985454,0.609622488116192,-0.521335113197942,0.642860173415302,"low","none","0","1"
"wetland",12,5007284,5315465,-1.72023347650637,-1.73236127246196,-1.60471959834169,-0.204366792598623,-0.761176585138732,-1.4118554380278,-1.05857080583121,-0.900724109981622,-0.823169646351842,0.489750209734727,-0.995275680273369,-0.930017304808139,-0.239421675265588,-1.25210333133049,-1.22572187381595,-2.12270274109571,1.50364010804918,-1.48832101091255,0.890720981026325,-0.411326688944595,0.637520403425733,-1.38045927054935,-0.826681643756602,-1.12583769388361,-0.213819279815494,-0.042194331788029,1.04841433513252,-0.058872953280957,-0.141253298901351,-0.252168229780206,-2.13524149472969,1.77625284531587,1.69917832019633,-2.63055375861383,-1.80010542215322,0.780252058294648,-2.92760371637158,-1.6749518023229,1.7528526910914,-1.95629375799298,-1.91953073133696,"low","none","0","1"
"low-intensity forest",41,4911284,5312465,-1.53689998322449,-1.44776394747915,-1.24783864831724,-0.276374996150606,-0.686292268491858,-1.29165227307294,-0.852347309205769,-0.892545614456186,-0.609517237361556,0.149335612592293,-0.821816683955175,-0.760956612197813,-0.168244338879197,-0.859495019678024,-1.57129228855758,-2.27693488940586,1.11775658459245,-1.44688552993191,0.389527675059864,-0.852424979387502,0.0666131012256182,-0.207104349939636,-0.224588660632993,-1.21895881667017,-0.394429582815793,-1.81843985178705,-0.0633396311472818,1.01303717195773,0.576992728005787,1.41355883207503,1.27273247744912,0.58055077722571,0.676489386931758,0.169093610383359,1.21333755286563,0.396186352121498,-0.535829956825845,0.452353160074937,0.268475022711108,1.28436388693976,-0.372778874105191,"low","low","0","2"
"wetland",12,5064284,5288465,-1.68372834538292,-1.76405192622884,-1.59728479754402,-0.137047139788573,-1.2251444171062,-1.33874170701678,-1.0505719362151,-0.872486631672893,-0.810779553199164,0.658091253238704,-0.908232002275881,-0.943158210130057,-0.151990365585491,-1.39213455568266,-1.06396503616214,-2.02424118704596,1.64940952527629,-1.36371795448568,1.00980908750788,-0.682868961993848,0.28108930035856,-1.37963686521437,-0.665462410739392,0.0410208903774816,-0.632315876050874,-1.0262809829181,0.544420845026588,0.683718539593078,0.368265783590017,0.573105486815466,-0.299774051793125,-1.50861502926337,-1.26367407794039,0.0388930117684038,-0.51992470558954,0.238049347200557,-0.423975753291859,-1.06966793891709,0.131065004852122,-0.382953493254156,0.541878211356053,"low","none","0","1"
"wetland",12,5065284,5282465,-1.69734981494034,-1.77370381581502,-1.60253225622053,-0.145225806847576,-1.22980781504473,-1.34762429684635,-1.16013183657458,-1.0323571654378,-0.905410113448271,0.609489939357501,-1.04813316031746,-1.0251870890321,-0.294341343857353,-1.50809303135898,-1.10340862600426,-2.0428547212167,1.65566908673112,-1.36010342912497,1.02159984394051,-0.500052313870446,0.14876610423991,-1.06534094773833,-1.55077432150541,-1.51256199690355,-0.145291360216167,-0.431571501539776,-0.109251519017276,1.10369066033433,0.516119459946807,0.685143903784856,-1.20457984269003,1.16104617656334,0.496712725638167,-1.22214448003477,-1.46647858914207,-1.49699301094265,-4.39918609629057,-0.900045812860786,0.994925740634495,-1.51509132936456,-0.968266996171604,"low","none","0","1"
