"term","estimate","n.eff","std.error","statistic","p.value","model"
"Topographic het.",0.149012061125161,901.728992380648,0.0482711173719183,3.0869818068858,0.00202199971548373,"Trait divergence"
"TWI het.",-0.0252503043463579,901.728992380648,0.0343605216582463,-0.734863824172996,0.462422432100175,"Trait divergence"
"Soil N het.",-0.0131871224936695,901.728992380648,0.0349477526925097,-0.377338211406535,0.705922278753002,"Trait divergence"
"Soil Cec het.",0.00834296657647418,901.728992380648,0.0393702464001806,0.211910448608112,0.832176898903355,"Trait divergence"
"Soil C het.",-0.0994920264209205,901.728992380648,0.0358829802612795,-2.77268013126212,0.00555967398240228,"Trait divergence"
"Soil pH het.",-0.0297091779345728,901.728992380648,0.035794976093875,-0.829981778913842,0.406549085735066,"Trait divergence"
"Annual temperature",0.0516546683498164,901.728992380648,0.0393396173404991,1.31304450429006,0.189167952217991,"Trait divergence"
"Annual precipitation",-0.129211598130331,901.728992380648,0.0429393851855048,-3.00916274353061,0.00261968747691,"Trait divergence"
"Landform het.",0.0458993866482595,901.728992380648,0.0362438069643762,1.26640633235283,0.205367644985633,"Trait divergence"
"Soil clay het.",0.0334480034993196,901.728992380648,0.0387665076359966,0.862806725160392,0.388243740957931,"Trait divergence"
"Land use intensity",-0.065157292935767,901.728992380648,0.0376794445207161,-1.72925301220785,0.0837638222452236,"Trait divergence"
"Soil sand het.",0.00575127764111255,901.728992380648,0.0436076362147003,0.131886938626904,0.895073719844589,"Trait divergence"
"Soil silt het.",0.0150706823596855,901.728992380648,0.0425430765173555,0.354245240198776,0.723155102137981,"Trait divergence"
"Topographic het.",0.236017780875269,740.960625553801,0.0512447146328382,4.60569997445213,4.11080724103171e-06,"Trait evenness"
"TWI het.",0.0852783555460665,740.960625553801,0.036477197717469,2.33785380682427,0.0193948332487741,"Trait evenness"
"Soil N het.",-0.0948787005365159,740.960625553801,0.037100603284179,-2.55733578804028,0.0105477345222002,"Trait evenness"
"Soil Cec het.",-0.0206183571868061,740.960625553801,0.0417955306339152,-0.493314880181836,0.621790115907238,"Trait evenness"
"Soil C het.",-0.0121971008736814,740.960625553801,0.0380934494470345,-0.32018893144976,0.748825113309956,"Trait evenness"
"Soil pH het.",0.0491967068025137,740.960625553801,0.0380000171827909,1.29464959360054,0.195441135876901,"Trait evenness"
"Annual temperature",0.138074482253765,740.960625553801,0.0417630157952161,3.30614251927614,0.000945899626564902,"Trait evenness"
"Annual precipitation",-0.0484127164616755,740.960625553801,0.0455845345199896,-1.06204257587506,0.288216357251688,"Trait evenness"
"Landform het.",0.00195136684742381,740.960625553801,0.0384764974593873,0.0507158129318687,0.959551975967075,"Trait evenness"
"Soil clay het.",0.113854155025779,740.960625553801,0.0411546063576757,2.76649845794343,0.0056661852858646,"Trait evenness"
"Land use intensity",-0.125358571072316,740.960625553801,0.0400005730921292,-3.13391937619469,0.00172488241721593,"Trait evenness"
"Soil sand het.",-0.212780259169112,740.960625553801,0.0462939520275021,-4.59628633655439,4.30087566719986e-06,"Trait evenness"
"Soil silt het.",0.058910751823954,740.960625553801,0.0451638138588401,1.30437947530472,0.192104229678592,"Trait evenness"
"Topographic het.",0.32738434229916,792.62109624958,0.0496845912896459,6.58925300181318,4.42044960822473e-11,"Trait richness"
"TWI het.",0.130123843124628,792.62109624958,0.0353666662031158,3.67927930716761,0.000233893995468882,"Trait richness"
"Soil N het.",-0.0500954341468602,792.62109624958,0.0359710923802958,-1.39265812717718,0.163723196481177,"Trait richness"
"Soil Cec het.",0.0285699184940733,792.62109624958,0.0405230851481346,0.705028217610634,0.480792676007092,"Trait richness"
"Soil C het.",-0.0347042363337458,792.62109624958,0.0369337135863304,-0.939635713929136,0.347404450509802,"Trait richness"
"Soil pH het.",-0.0357341891565663,792.62109624958,0.0368431264610048,-0.969901107453186,0.332095788005895,"Trait richness"
"Annual temperature",0.0424347508764962,792.62109624958,0.0404915601535146,1.04799001855237,0.294643205656959,"Trait richness"
"Annual precipitation",0.0534406136017169,792.62109624958,0.0441967338557167,1.20915300610623,0.226604068209637,"Trait richness"
"Landform het.",-0.065668856382011,792.62109624958,0.037305098579241,-1.76031853239904,0.0783538136764628,"Trait richness"
"Soil clay het.",0.0422117391889675,792.62109624958,0.0399016707571523,1.05789402769309,0.290103758294115,"Trait richness"
"Land use intensity",0.00597647572171728,792.62109624958,0.038782774161814,0.154101294991986,0.877529867221949,"Trait richness"
"Soil sand het.",-0.0323382905178851,792.62109624958,0.0448845545643624,-0.720477028941292,0.471231338080735,"Trait richness"
"Soil silt het.",-0.0392796827489848,792.62109624958,0.0437888232983468,-0.897025308978051,0.369705412132855,"Trait richness"
