"Land_system_names","Land_use","lon","lat","Landform_sha","F.eve","BIO1_Annual_Mean_Temperature","BIO10_Mean_Temperature_Warmest_Quarter","BIO11_Mean_Temperature_Coldest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO6_Min_Temperature_Coldest_Month","BIO7_Temperature_Annual_Range","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"shrub",80,4954284,5352465,1.07117112892812,-0.672487845189447,-1.74538447182322,-1.59642887362462,-1.55685753479237,-0.108473261976849,-0.268206067093982,-0.050612591061715,-0.225565025171763,-0.226637532946886,-0.194813165564152,0.180285693255155,-0.00856518467893842,-1.60260570198019,-2.26393727039586,0.741602739634587,-1.73131830133351,-1.36330717454675,0.111653349021582,-0.634135169588182,-0.765499907235254,-0.0657327602346623,-0.0507785547793825,-0.817236254418839,-0.315772986182313,-0.743353752642385,-0.21679565606375,-1.53683280374442,-0.537767421861496,1.56006153565634,1.15470895873301,-1.85915154609006,-0.0554461376941238,-0.218170947994374,-2.90943776715409,-1.29863853831574,1.95563157167536,-2.8879591875581,1.83259649967661,-1.66145139866056,-2.24421910943074,"low","none","0","1"
"shrub",80,4958284,5341465,0.477478714262457,-1.82077561369967,-1.64008958820895,-1.38958414249934,-1.55624288420484,-0.679813553419024,-0.733104132994205,-0.45278733867731,-0.088796355860732,-0.747209708806798,-0.614815014249237,-0.157416695641526,-0.600159111295275,-1.48561896578959,-2.27282348099513,1.02184062646838,-1.53524179508149,-1.38878204514275,0.369700164234129,-0.455125776983626,-0.703627600841742,0.138308415596333,1.37047346881485,-0.935473022231403,0.0689178534709183,-0.922542943147033,-0.274480608477943,-0.359822895497072,0.129292398434223,1.23558136425446,0.326431782930285,0.627032229145206,0.241937525219131,-0.0843426733116659,0.39426082191907,1.46066181469106,1.05264010446385,0.299371299858895,0.318681061994256,1.37111114935681,-0.840899760199508,"low","none","0","1"
"wetland",12,4957284,5336465,0.917190274312116,-4.29296658747792,-1.66777757994416,-1.41795121617291,-1.57663731189411,-0.616326285432558,-0.621530262786389,-0.39609329475843,-0.041284431372751,-0.67199565146826,-0.571331052315298,-0.0829474424859229,-0.573227219371356,-1.50963433946664,-2.28071941216141,1.00868714959144,-1.56020437455105,-1.40067767810795,0.359629030445573,-0.486001236992492,-0.720341200947945,-0.0274875759685077,-0.577533205070663,-0.940101006367313,-0.622813272788714,-1.00204376782957,-0.361397703139763,-0.763762711911273,1.47628976966103,1.24139268081955,1.10278039419232,-1.94625070099362,1.27161755199876,1.00107103692777,-1.95495728154567,-1.14592989227362,-1.3170643393275,-1.64090912515279,0.841135269991845,-1.53936796226959,-2.27935929221395,"low","none","0","1"
"low-intensity forest",41,4870284,5332465,-0.463222473066787,-2.58991612244256,-1.47869309612179,-1.3462535708958,-1.33227266175787,-0.494535568371454,-0.660836262001746,-0.282780330417111,-0.732820000865183,-0.745291528705841,-0.367883834136753,-0.401592200603081,-0.154600899990656,-1.7267692874755,-2.34270278127915,0.652761405712959,-1.58236682176768,-1.16531915702951,-0.0193939542844913,-1.16939688629527,-0.198122245587838,-0.000235484270794012,-0.131223056485546,-1.87422640277104,0.253376356686625,0.0635872014064838,-0.62602633928959,-0.699776924700482,-0.301146855177884,1.2325127235204,0.61810419258436,-0.380751011349959,-0.229918010566313,-0.121306202350624,0.0440712258448017,1.9047017786478,1.44507056064185,-0.0456743432871284,0.967065402230419,1.53249811192765,-0.744650179697871,"low","low","0","2"
"wetland",12,4873284,5316465,0.380903943972666,-1.69743927561516,-1.68868646194333,-1.40318133097035,-1.606014495359,-0.336128254955858,-0.583704365134593,-0.129374875257888,-0.692748471059611,-0.551623130045345,-0.263496900458589,-0.171693370122166,-0.0817894835176276,-1.49637539104594,-2.29993121998888,1.08005133786743,-1.58519814762355,-1.45070455116876,0.406912427077813,-1.35742523827525,-0.716531083370365,-0.792320600649227,-0.992807687306167,-0.66932669254595,-0.744926188626412,-0.320116161029084,-1.55063857892332,-0.793256651659886,0.262448311266471,1.81439504114768,1.35504566885586,0.636144776485628,-0.277178706359334,-0.691945090901337,0.428168739190208,0.526407407926359,1.09904361405877,-0.0342233950909996,0.135957440026221,0.684136567028139,0.143552574542137,"low","none","0","1"
"shrub",80,4847284,5315465,0.385617813993328,-1.92294160731262,-1.7289088495657,-1.38187269450624,-1.68968970732927,-0.0494049174395353,-0.242530049303753,0.0962273240899866,-0.733663983880529,-0.316298709274333,0.00598236166960817,-0.187954830978145,0.380239895636139,-1.40739285689102,-2.31490455447766,1.30526576991163,-1.55872652697312,-1.54918313226951,0.584776021784558,-3.81614097983512,-0.261035821181638,0.178752463909992,-1.06683528009499,-0.92628470168053,-0.99813906143709,0.266908043236362,-0.44655498473403,-0.786776151040436,0.415307873265156,0.214908174484879,-0.544752266886172,-0.539909286267823,-0.949994371803956,-0.58854514709793,-0.0723884745507051,-0.046215360100053,0.489863894631519,-0.993736684150619,0.423559222408017,0.0322671105423521,0.39289324482129,"low","none","0","1"
"wetland",12,5007284,5315465,-0.007772508769787,-4.59550453891844,-1.70843235824476,-1.3306705554554,-1.75426208516473,-0.982400726072997,-0.750861610820908,-0.72598972949444,0.446847343710103,-0.886951265745537,-0.844632453972226,-0.196399688885329,-1.06494566678894,-1.28897373727596,-2.27259834715529,1.48702049468229,-1.43548445034449,-1.61365012403531,0.81989019443585,-0.233972689758259,-0.714506967669412,-0.222260360109444,0.677134638822178,-1.4850970866598,-0.827700709160614,-1.05823206617957,-0.198660344700688,-0.0558578992465924,1.06652863368186,-0.0846823592588588,-0.274978020483479,-2.15945606625717,1.17148178462132,0.920389325969465,-2.72327270142063,-1.17858323506224,1.46485550506531,-2.60655456329151,2.60420629723951,-1.47220521527393,-1.94056430086829,"low","none","0","1"
"low-intensity forest",41,4911284,5312465,0.606893312775299,-0.852454962604779,-1.52909409202012,-1.22085345970574,-1.46601448147596,-0.695503063163249,-0.740512449062892,-0.501638743149172,0.0931399815828525,-0.659670178053053,-0.668961503463099,-0.125221689314898,-0.678912121394824,-1.63691875108712,-2.43792588531698,1.09049322928116,-1.39714325866616,-1.25521863894601,0.323447667486217,-0.304830217167016,-0.64189069261696,-0.616942667086028,0.120847399214682,-0.233530908319156,-0.228480003242811,-1.15002070839101,-0.376587364555063,-1.78666953054339,0.047983063220397,0.997408906250032,1.39861764066773,1.64232835340368,0.744541672623827,0.221417285596931,0.611787610874674,1.59604210854904,0.463612031619571,1.03078847762007,0.311583339346755,1.64427796400136,-0.394803401313312,"low","low","0","2"
"wetland",12,5064284,5288465,0.42826744648213,-0.562871138428805,-1.67272275163231,-1.26387416451122,-1.78635920697776,-0.970699109679039,-0.715279705883179,-0.712979206314055,0.621761894776274,-0.770636408567604,-0.858287167512129,-0.108967564577261,-1.20263187565961,-1.12610538191172,-2.1670535141683,1.63681063828416,-1.32018641211486,-1.60618302137526,0.937849472438074,-0.167728791023965,-1.16442248015938,-0.465228725870128,0.329831191009573,-1.4842198629962,-0.667250570521038,0.0919298079160009,-0.610939439250668,-1.01477298322709,0.604789478744037,0.664962363148505,0.554194142822998,-0.208474498103347,-1.18231510467359,-0.448304825707894,0.412368370181755,0.113471886664697,0.925562119778233,-0.699016122951765,-0.365287901584559,0.153475425342369,0.318880428068606,"low","none","0","1"
"wetland",12,5065284,5282465,0.554798743616694,-3.75214141856318,-1.68604738037379,-1.27198926046718,-1.79613489283303,-1.13558035216726,-0.922600169277473,-0.812348362180947,0.571262760270458,-0.960014032755245,-0.943523368212754,-0.251319869182779,-1.31664846714597,-1.16582000974708,-2.18700609743096,1.64324285587164,-1.31684180970164,-1.61145327860316,0.949528465051065,-0.175776764681327,-1.16894463650061,-0.301649546357507,0.200896589505592,-1.14897420680622,-1.5483391116538,-1.43942268783609,-0.131150527660471,-0.435275342826195,0.00592038439048687,1.08892343312175,0.666761809409012,-0.810925403388015,1.43890875136453,0.878531256270781,-0.942453407870745,-0.793439173717759,-1.1542506377432,-0.103746566405802,0.973980471507271,-0.915865290763238,-0.977397744539958,"low","none","0","1"
