"loc","Latitude","Longitude"
1,67.07371,56.993
2,37.472576,21.627188
3,36.895134,14.426432
4,36.801379,15.094877
5,36.684313,15.047442
6,39.4636,15.977941
7,42.729755,9.139681
8,42.412558,27.700825
9,48.279677,16.792215
10,48.221323,16.911581
11,48.300352,16.778151
12,47.75724,15.80057
13,47.59526,15.0312
14,47.58294,14.61928
15,47.58335,14.59768
16,47.54194,14.63645
17,47.56217,14.64492
18,47.56264,14.64662
19,47.53932,14.50921
20,47.55384,14.53787
21,47.21981,13.86728
22,47.2667,13.75821
23,47.73922,14.95852
24,47.52145,14.03324
25,46.5035,14.48358
26,46.57428,13.92697
27,46.60249,13.67254
28,46.60337,13.67024
29,46.60198,13.68015
30,46.45177,14.18206
31,46.59762,13.70459
32,46.61507,13.74075
33,47.67878,13.43771
34,47.64954,13.41923
35,47.67593,13.43661
36,47.08589,12.73621
37,47.57055,12.36392
38,47.64027,12.28892
39,47.61735,12.36881
40,47.56693,12.32353
41,47.6048,12.28214
42,47.57521,12.31406
43,47.59215,12.3233
44,47.54318,12.33651
45,47.61898,12.29118
46,47.46749,12.7666
47,47.22994,12.91762
48,47.18922,12.88515
49,47.20473,12.40165
50,47.23922,12.36037
51,47.1935,12.4125
52,47.2034,12.39914
53,47.19664,12.41099
54,47.19672,12.41217
55,47.2281,12.3902
56,47.22887,12.37163
57,47.24654,12.41614
58,47.19531,12.40666
59,47.21296,12.3773
60,47.21721,12.38815
61,47.1914,12.40574
62,47.1702,12.43588
63,47.17962,12.4214
64,47.16512,12.44134
65,47.18349,12.42569
66,47.21932,12.40986
67,47.20904,12.43314
68,47.20457,12.42365
69,47.17031,12.4056
70,47.16529,12.44519
71,47.16568,12.45427
72,47.19311,12.40004
73,47.16311,12.4394
74,47.22165,12.38426
75,47.1949,12.40516
76,47.16096,12.4582
77,47.19282,12.41021
78,47.15919,12.4544
79,47.19479,12.40562
80,47.19335,12.40573
81,47.16754,12.43237
82,47.21341,12.37656
83,47.20609,12.41343
84,47.23517,12.45446
85,47.23204,12.45722
86,47.16424,12.45363
87,47.18489,12.27193
88,47.18723,12.24373
89,47.18681,12.23226
90,47.17301,12.22893
91,47.15415,12.23084
92,47.15517,12.26007
93,47.17049,12.24986
94,47.17518,12.24108
95,47.1761,12.23905
96,47.17351,12.23639
97,47.17463,12.23846
98,47.18242,12.2366
99,47.19485,12.27208
100,47.19604,12.26407
101,47.19061,12.26793
102,47.18301,12.2638
103,47.17359,12.24848
104,47.1586,12.27974
105,47.17099,12.24694
106,47.13542,12.28873
107,47.14639,12.25742
108,47.1553,12.25478
109,47.15825,12.24303
110,47.18996,12.2327
111,47.15631,12.24907
112,47.18696,12.22786
113,47.1916,12.23168
114,47.1793,12.23251
115,47.15631,12.24719
116,47.15437,12.24106
117,47.15463,12.24719
118,47.18665,12.22941
119,47.17032,12.24606
120,47.15094,12.24242
121,47.16639,12.24221
122,47.16722,12.24046
123,47.16524,12.24579
124,47.13273,12.27383
125,47.13205,12.28001
126,46.75681,12.78703
127,46.75379,12.79651
128,47.05919,9.62175
129,47.05654,9.62443
130,47.0554,9.63515
131,47.05483,9.63927
132,47.05483,9.63927
133,47.05861,9.61293
134,47.06059,9.60814
135,47.90266,14.19988
136,47.07907,12.83627
137,47.08092,12.83536
138,47.08067,12.83622
139,41.196639,21.720256
140,41.201744,22.562667
141,41.210889,22.529156
142,42.038222,21.563442
143,42.04015,21.560933
144,42.040331,21.562583
145,41.953639,21.676317
146,41.903978,21.692836
147,41.906017,21.697353
148,41.903397,21.683272
149,41.903228,21.682689
150,41.641153,22.4782
151,41.619242,22.013764
152,41.569622,22.064919
153,41.560178,22.079594
154,41.53225,22.092567
155,41.530503,22.093589
156,42.079119,22.611372
157,42.085597,21.962342
158,42.105417,22.025233
159,40.75632,23.211322
160,43.63567,24.85211
161,43.38494,24.51454
162,42.62945,26.28969
163,42.67862,24.96543
164,42.68285,24.95851
