"Species","SLA","PlantHeight","SeedMass","LDMC","StemSpecificDensity","N","P"
"Abies alba",1.72959731543624,3.6555033557047,4.09308724832215,-1.18939597315436,-0.704697986577181,2.55268456375839,0.346040268456376
"Abies cephalonica",1.5775,3.545,2.9825,-1.1575,-0.735,2.48,0.2625
"Abies grandis",1.54826086956522,4.18739130434783,2.93434782608696,-1.14173913043478,-0.678695652173913,2.62521739130435,0.141304347826087
"Acanthus mollis",0.75,-1.00333333333333,5.34,-1.18,-0.773333333333333,3.15666666666667,-0.556666666666667
"Acer campestre",2.66640350877193,2.61342105263158,3.85333333333333,-1.08833333333333,-0.54780701754386,3.03078947368421,0.607719298245614
"Acer monspessulanum",2.43,2.1475,3.5185,-0.8435,-0.19025,2.95725,0.45425
"Acer negundo",3.08453608247423,2.18412371134021,3.34773195876289,-1.10824742268041,-0.70360824742268,3.37237113402062,0.735567010309278
"Acer opalus",2.76296296296296,2.37481481481481,4.52518518518518,-1.03444444444444,-0.362592592592593,3.12888888888889,0.519259259259259
"Acer platanoides",2.96403225806452,3.23306451612903,4.945,-1.0108064516129,-0.56758064516129,3.0358064516129,0.563870967741935
"Acer pseudoplatanus",2.65792134831461,3.33168539325843,4.17983146067416,-1.05522471910112,-0.602134831460674,3.22050561797753,0.669438202247191
"Acer tataricum",2.78,2.1575,3.66416666666667,-1.05833333333333,-0.588333333333333,2.58833333333333,0.178333333333333
"Achillea atrata",2.79714285714286,-1.88285714285714,-1.88285714285714,-1.43,-5.68,3.00714285714286,0.835714285714286
"Achillea clavennae",2.77833333333333,-1.89166666666667,-1.26833333333333,-1.44333333333333,-5.64,2.93333333333333,0.81
"Achillea leptophylla",2.815,-1.1,-2.41,-1.42,-5.58,2.94,0.92
"Achillea millefolium",2.72354430379747,-0.921350210970464,-1.99443037974684,-1.40548523206751,-5.75151898734177,3.00548523206751,0.862405063291139
"Achillea nobilis",2.98333333333333,-0.712222222222222,-3.04888888888889,-1.41111111111111,-5.57222222222222,3.00555555555556,0.965555555555556
"Achillea ptarmica",2.77918918918919,-0.400540540540541,-1.83081081081081,-1.56,-5.65891891891892,3.04,0.937567567567568
