"loc","Latitude","Longitude"
1,43.00642,19.06109
2,42.10003,19.09964
3,42.10003,19.09964
4,43.17474,23.48273
5,43.18198,23.50508
6,42.11192,23.55666
7,42.11192,23.55666
8,45.60269,15.03102
9,41.7625,24.7192
10,43.036003,-1.756
11,42.958064,-2.088557
12,43.00938,-1.793349
13,44.799079,14.976554
14,44.798751,14.975631
15,44.77602,15.08892
16,44.69555,15.04552
17,44.75159,15.76323
18,44.85916,15.07718
19,45.57031,16.25379
20,45.38463,16.82275
21,45.728522,18.62171
22,45.728522,18.62171
23,45.163199,14.572594
24,45.143869,14.600913
25,45.071545,14.559371
26,45.941661,16.893412
27,45.304035,17.903955
28,50.6575,14.345
29,47.8269,-2.968271
30,48.3165,-4.097771
31,49.4118,0.688429
32,46.6974,6.254929
33,47.3436,6.755329
34,47.2212,6.899329
35,50.597295,10.816555
36,51.434778,13.901411
37,51.434778,13.901411
38,49.12501,12.37498
39,48.95215,12.89318
40,52.89314,10.76521
41,52.190946,5.591944
42,51.929699,6.707992
43,51.967496,6.782162
44,51.967284,6.769639
45,52.079451,6.335431
46,52.055357,4.795251
47,51.994039,4.708698
48,51.375874,5.42167
49,56.061855,13.602099
50,51.354444,17.533333
51,51.511944,17.833333
52,51.439167,17.816667
53,51.350556,17.833333
54,46.943611,27.648611
55,46.175556,26.719722
56,44.664722,24.032222
57,45.955556,26.958333
58,45.956111,26.957778
59,45.776667,27.017778
60,44.94772,22.91188
61,47.78003,26.27128
62,47.78003,26.27128
63,54.254722,57.714722
64,54.152778,57.761667
65,54.236111,57.595833
66,54.6125,57.2375
67,54.277222,57.640833
68,54.316667,57.6
69,54.2675,57.683333
70,54.633333,57.266667
71,54.275556,57.682222
72,54.293056,57.693056
73,54.202778,57.725
74,54.1825,57.638056
75,54.1335,57.787667
76,54.321389,57.613333
77,54.365472,58.326639
78,54.383278,58.3505
79,54.393861,58.3605
80,49.126667,20.062222
81,49.141667,20.050278
82,49.203333,20.066667
83,49.19,20.071944
84,49.174167,19.991667
85,49.191667,20.081667
86,49.155,20.156111
87,49.580556,19.546111
88,49.219444,20.107778
89,49.208889,20.097778
90,46.130083,14.519219
91,46.119664,14.511153
92,46.305389,14.616983
93,46.293744,14.627903
94,45.738456,14.327186
95,45.727444,14.348014
96,45.738469,14.333836
97,46.423208,14.313739
98,46.437614,13.627339
99,46.435231,13.626489
100,46.331336,7.774332
101,46.183297,7.846983
102,47.477939,8.380562
103,46.674169,6.48498
104,46.796975,6.530093
105,46.969494,6.791575
106,46.676517,6.486115
107,46.666424,6.484071
108,46.677227,6.484926
109,46.47184,6.308461
110,46.734897,6.474746
111,47.125634,7.211554
112,46.72772,6.498685
113,47.049718,8.592704
114,49.73064,30.20086
115,50.39339,30.55303
116,50.35853,30.49528
117,48.16,24.53722
118,47.81516,24.96548
119,36.983495,15.040369
