"Land_system_names","Land_use","lon","lat","BIO1_Annual_Mean_Temperature","BIO10_Mean_Temperature_Warmest_Quarter","BIO11_Mean_Temperature_Coldest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO6_Min_Temperature_Coldest_Month","BIO7_Temperature_Annual_Range","BIO8_Mean_Temperature_Wettest_Quarter","BIO9_Mean_Temperature_Driest_Quarter","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","Landform_sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"medium-intensity forest",42,4545284,3667465,-0.251954612202499,-0.355548804977578,0.000861086696668488,-0.80406927099208,-1.0143291357901,-0.850545898457081,-0.455248645730935,-0.967267196589768,-0.796585390104778,-0.635378634592824,-0.363651223464523,-1.33234413851171,-1.09189743923422,-0.480087510960855,-0.288677558585795,0.220136379356752,-0.665737012526374,-1.32796041039062,0.241079328042252,-1.14812408325357,-0.0244240268211093,-1.25985071518127,-0.564217989890901,-1.21105623599447,-0.499752915493412,-0.806746207932376,1.58664189907781,-0.55600660719514,-0.501757752503733,0.409248219843173,1.19146346349803,0.947472312190638,0.989952992504597,-0.0320609527961615,-0.408036299116121,1.06557724851692,-1.96765192341934,0.986084622668362,-0.570769538366218,-0.772061083616972,-1.66321225682919,"low","medium","1","3"
"high-intensity forest",43,4372284,3309465,0.319020410044619,0.212173907437142,0.450962214650254,-1.13469115999161,-1.40713884072085,-0.94139808755657,-0.980028447767443,-1.34409427696836,-0.937519550343253,-0.956984130053482,-0.834404745433255,-1.01527802595349,-0.600997593321808,-0.418796385254682,0.316740332545227,0.706634320250956,-0.637040924996151,1.07513096566851,0.0926932579532311,-1.13924436132219,0.386977702511349,-0.36701237525594,-0.287146506943727,0.377712529965637,0.726772392731679,0.70609278352223,0.150453073189756,-1.27843053693979,-0.028106111177713,-0.832735046597254,-1.17663476264763,0.963628668290471,0.138507628080229,-2.77166052591905,-1.20688722292314,-3.25786597351895,-2.09335203378261,-0.42000508521367,1.75150368560228,-1.53396326247533,-2.39034265911105,"high","high","1","4"
"high-intensity grassland",53,4019284,3240465,0.552856531991699,0.142336155700228,0.899146399073983,-0.729042570323926,-1.11132958912766,-0.689664072152502,-1.00836778921197,-0.953142620178809,-0.466246896603795,-0.679298959089039,-0.269000688875687,-1.120966562152,0.45068980466968,-1.28358696843384,0.117895038220832,1.09437503370386,-1.43613450777023,-0.789570984475578,0.251745855559398,-1.36737148674394,-0.684246863192177,1.18542231971842,0.370571991788225,0.107314272051293,1.4682407355664,0.840310728785868,-0.47978904064078,-1.27843053693979,-2.32425434918061,0.467608934124334,1.24236197050866,0.839555212955692,0.72592029865943,1.74689884565453,0.388807201619351,-0.181015405188689,-0.43991935278181,2.03889461221383,-0.715340530377766,0.520714613225988,0.187019919624766,"high","high","1","4"
"high-intensity grassland",53,3964284,3228465,0.594821648222336,0.100640387995294,0.983650259899934,-0.72608154392277,-0.957366886313814,-0.737856379925632,-0.646046761008797,-0.840778939993924,-0.565283967134906,-0.662763995865339,-0.350860880238477,-1.54372121090873,0.271755399923706,-1.47982674041643,-0.0012153444064538,1.19420902415745,-1.7238080756369,-0.0848797677320203,0.277206173661123,-2.23939442602014,-1.07687131388907,-0.140775095801412,-0.160744009423874,-1.06405417629644,-1.05315390090319,-0.345834059818731,1.3211904993283,0.34368066323714,-2.32425434918061,1.07066662878501,-1.53816803566226,-1.28067531392491,0.868948663541392,-1.1510828040968,-1.45325412356263,-0.351921258507925,1.02845964164949,-1.56722755926372,-1.10004007025229,-1.36290746535505,-0.394144753787411,"high","high","1","4"
"high-intensity agricultural mosaics",733,4070284,3225465,0.56033286167638,0.205577573166161,0.851052109476666,-0.77962981671528,-1.06704801133897,-0.801583859269778,-0.932988947174327,-1.02968593726971,-0.584206514972466,-0.635601761006384,-0.336982891033273,-1.01527802595349,0.411165941290609,-1.12401686423904,0.204486910753514,1.05706240870588,-1.27785884072864,1.07088933444021,0.246602195080492,-1.22607184438383,-1.43840717531584,1.39997960225025,-0.985134068736879,0.837060342215748,2.15519089921817,1.90193205121832,0.16338350395763,-1.27843053693979,-2.32425434918061,1.01169825460984,1.31307672894396,0.57155323528357,0.0587676498657645,-0.020145129740935,1.10215387345055,0.0938154797304998,-0.650160988238591,0.139312142698169,0.106592449795182,1.33892113358713,0.54392296593678,"high","high","1","4"
"high-intensity grassland",53,3958284,3222465,0.594821648222336,0.128523900814217,0.976080199746856,-0.725130809738897,-0.97068745983748,-0.734260295498191,-0.666394514305763,-0.848320335238625,-0.557787188087111,-0.654078093384659,-0.349304596430868,-1.33234413851171,0.470808193110421,-1.46795771547153,0.0517770157301116,1.17204653281265,-1.627917089568,-0.090307742484536,0.277206173661123,-2.23939442602014,-0.260665571701263,0.396520859965681,1.08297126079775,-0.619486688352971,0.733967345820673,0.924343784364157,0.761866279054142,-0.330861306964139,-2.32425434918061,0.0748914254360005,-0.120831468923523,-1.38256383010653,-1.04395668894107,-0.443767124257828,-1.50903621820717,-1.36153023889229,0.155570745536814,-0.944966610689342,0.709102731970407,-1.31439840190221,0.842678478247376,"high","high","1","4"
"forest/shrubs and cropland mosaics",71,4099284,3211465,0.549056924422834,0.240057420256038,0.801040861444981,-0.819112751514211,-1.21954860764734,-0.759407412114789,-1.07698430560509,-1.07232029486767,-0.583277998802959,-0.759736532717783,-0.394239476720028,-1.01527802595349,0.240547075905848,-0.999059753808727,0.252970798925616,1.01966321446894,-1.16543082658915,-1.32102659328496,0.240597595489847,-1.30469055453784,-0.580485544094601,-0.817731039156659,-0.738342182417882,0.913034044984476,-0.602313906798843,-1.24539238003303,-0.382334083946329,1.04334388220449,-1.80081827924134,0.826282270074399,-0.0794542370544538,0.301666622779982,0.265277611167358,0.0236097852518162,1.07247044540953,0.812892541562907,0.675863327750308,-0.0997050109644179,0.553814730315056,1.15163851689245,0.595145383051275,"low","low","0","2"
"high-intensity agricultural mosaics",733,4100284,3211465,0.551433241820121,0.240057420256038,0.801040861444981,-0.817678381476188,-1.21863893722603,-0.755762839529441,-1.08590363172607,-1.06993439288465,-0.578667498804093,-0.760495238259379,-0.390564418410615,-1.01527802595349,0.231735097850361,-0.99476129192465,0.260157771216465,1.01690913550556,-1.15278769707287,-1.31949890668489,0.239015635806351,-1.31455625358469,-0.677463621181738,-1.22354068801959,-0.55319663055333,0.418744459603044,-0.2468476038588,-0.0986451745649082,-0.460082303559224,1.3211764963808,-1.53029992020229,1.14118561383763,1.1128643054873,-0.496931203185086,-0.789477560800194,0.967038629070839,0.00658919045112532,-0.125855873874878,-0.0442548337625394,0.171063164420241,0.437231282392503,0.369600600520172,0.898529236317539,"high","high","1","4"
"forest/shrubs and grassland mosaics",72,4094284,3207465,0.56693117213916,0.240057420256038,0.826046455651804,-0.819424188949701,-1.22342701778765,-0.779376138207714,-1.04678339986437,-1.0724435880012,-0.593168208628547,-0.759339057531855,-0.400557403784726,-1.01527802595349,0.230704738957935,-1.03044346632329,0.244263651355189,1.03907162189665,-1.20393207623768,-1.30953592092581,0.247351199360246,-1.2652930651469,-0.77470288499441,-0.795696551384355,-1.02844452115889,-0.0253323604812911,-0.613472360430527,-0.682718316360964,-0.411342694877473,-1.016154115879,-2.32425434918061,0.0651648812887088,-0.568773218261582,-0.0477056141487364,0.258982349729381,-0.159812073968364,-0.466153255376926,-0.0605549761050803,-0.86792357920912,-0.219127468098288,-0.0412406237818938,-0.45635674569821,-0.736814538409737,"low","none","0","1"
"high-intensity forest",43,4863284,3184465,0.272424746514982,0.503295459421062,0.0296517333367943,-1.38681462466409,-1.12500406530009,-1.45826875180282,1.10190289452334,-1.23639408608566,-1.50119751492624,-0.846894993976874,-1.77419094126377,-0.381146304799736,-1.15370826377862,0.718375705000651,0.599506074359838,0.178089359677402,0.466357751018488,1.26233043364539,-0.404613214362381,-1.06225404347493,-0.282118671425968,-1.06759360492329,0.454621534203797,2.45712036005293,-0.0313041862520793,-0.316008609519182,0.468093169721335,1.3158123877999,-0.738504031906031,2.01416061558796,0.0396423322085428,0.85937172256106,0.843617551962573,-0.0295975641025655,-0.475722098407198,-2.41270942663398,-1.29875411180938,0.943818586191887,0.968301684665364,-0.417998041887278,-0.726379375967161,"high","high","1","4"
