"Land_system_names","Land_use","lon","lat","Landform_sha","BIO9_Mean_Temperature_Driest_Quarter","BIO1_Annual_Mean_Temperature","BIO10_Mean_Temperature_Warmest_Quarter","BIO11_Mean_Temperature_Coldest_Quarter","BIO12_Annual_Precipitation","BIO13_Precipitation_Wettest_Month","BIO14_Precipitation_Driest_Month","BIO15_Precipitation_Seasonality","BIO16_Precipitation_Wettest_Quarter","BIO17_Precipitation_Driest_Quarter","BIO18_Precipitation_Warmest_Quarter","BIO19_Precipitation_Coldest_Quarter","BIO2_Mean_Diurnal_Range","BIO3_Isothermality","BIO4_Temperature_Seasonality","BIO5_Max_Temperature_Warmest_Month","BIO6_Min_Temperature_Coldest_Month","BIO7_Temperature_Annual_Range","BIO8_Mean_Temperature_Wettest_Quarter","Top_Rao","Cec_Rao","Clay_Rao","N_Rao","pH_Rao","Sand_Rao","Silt_Rao","Soc_Rao","Hyd_feat_Sha","TWI_Rao","C.hull","F.eDep","F.eRDC","F.rich","F.disp","F.div","F.eve","F.dist","F.nMST","F.rao","Sp.rich","intensity_bi","intensity_ord","intensity_bi_N","intensity_ord_N"
"low-intensity forest",41,5256284,3883465,-0.777027242980209,-0.213406130538813,-0.669863583118626,-0.238418086482255,-0.910510247887214,-0.869174588521401,-1.13634111836509,-0.882659617029336,-0.140572522383979,-0.96832703306994,-0.895294356422355,-0.726629101643079,-0.630411114902674,-1.69478548556219,-2.551139760102,1.27002888477498,-0.189213981441616,-0.593684076373556,0.660277842982368,0.668624525180087,-1.61324266687294,-0.749311489152535,-0.622432494999611,-0.291408436770981,-1.04717317087022,-1.088040719957,-0.992748849685418,0.61114911615876,-1.24971146265186,-0.780403283417125,-0.584439077201255,1.20474392610073,1.20834100620555,-1.41147205326311,0.61226374691024,0.0466485181282751,-0.271288729774194,-0.619314023421125,1.34301653784625,0.430859151566498,-0.67738326296898,"low","low","0","2"
"high-intensity forest",43,5241284,3780465,-2.87831091867378,0.0220341130843107,-0.292857440216382,0.109108454550526,-0.556915712706385,-1.08238187828778,-1.19299637243397,-0.910211409187148,-0.171438328313191,-1.14075999149978,-0.976675843966907,-0.860710575008751,-0.924656407871805,-1.11503813279348,-2.02178794885188,1.20913907900173,0.248528737709627,-0.293569903312492,0.769930860390982,0.909399357429281,-1.65794781105282,-0.832191546103662,-2.13655204185623,0.282065666401924,-0.265315324788974,-0.477472043279752,-0.281282284986646,1.21415915491742,-0.513607985578784,0.784911640819582,1.30037918397338,-0.15362402736568,-0.570866620374976,1.36107201510668,0.179049767149773,-0.801186689135371,0.124701850268544,1.18665921721461,0.283851095521191,0.693142984161509,0.811408650503503,"high","high","1","4"
"forest/shrubs and cropland mosaics",71,5240284,3767465,-2.13930593999841,0.0380803564929458,-0.262609549160597,0.12572216670059,-0.529716163007325,-1.13836955599435,-1.23445835983929,-0.923344358870817,-0.207030016161003,-1.20395204924029,-0.996269517193222,-0.907798134288175,-0.977171474137728,-1.21166261479796,-2.05550724708948,1.21176309371344,0.266671078117186,-0.268988510565431,0.755948457638956,0.920909740906988,-1.6803240210946,0.087519739997357,-1.84714042732968,-0.310802221437187,1.97301729201331,-0.454232930639205,-0.553450165532408,2.63904305583342,-0.947591191090955,0.917629086256659,-1.63135470476287,-0.137830680173052,0.133615273040362,-1.50410236886074,-0.408706535194102,-0.490659838797053,-0.671412975591737,-1.80157685864944,1.64887284391069,-0.731847485478399,-1.10609510903904,"low","low","0","2"
"wetland",12,5100284,3757465,-3.25914573144154,0.0380803564929458,-0.279756871841656,-0.0407808955963084,-0.366518670266439,-1.11440029599242,-1.26812375289798,-0.979862889896536,0.068379087280133,-1.2064952247247,-1.04208471476766,-0.909670497217091,-0.998561947716374,-1.21166261479796,-1.68875734433481,0.648828537939427,0.0878434565384327,-0.072337134162295,0.22420451771001,0.805552373454205,-1.73569116068812,-0.364708435371015,-1.96810792996189,-0.45766755760809,1.53880681577803,-0.544719808196578,-1.16079996926453,1.35358597717911,1.28507869586059,1.63620944610394,0.288594511599685,-1.34969674425824,-2.1745102206011,0.440659941558881,0.195600587554859,0.346122389434694,0.436584901764653,-0.766593051001898,0.870615721673284,0.468554714281416,1.14225297198875,"low","none","0","1"
"high-intensity forest",43,5232284,3739465,-3.23296159168638,0.0657227961295636,-0.202113767049028,0.169064423322272,-0.475316998760365,-1.21957027725198,-1.22694018766528,-0.95709828957983,-0.0543735271282633,-1.24620974599066,-1.04144177977917,-0.938683274694936,-1.11725345372922,-1.21166261479796,-2.05123781218681,1.19620125013775,0.302926518449273,-0.195244215110924,0.690467446714862,0.950938309477244,-2.9570533614792,-0.69626537314128,-1.01976562643172,1.58874062996528,-1.2328940535798,0.245789957662153,-0.191578215420954,1.48567337616467e-05,-0.492421387963782,0.634892622834651,-0.200771658282447,0.987067642641728,0.36432952787466,-0.903195089473153,-0.344120346655965,-1.13451534446135,-2.06573241273665,0.636105957505648,0.83154035825375,-0.710540743373479,-1.06329724140974,"high","high","1","4"
"high-intensity forest",43,5231284,3738465,-2.70786047190822,0.0654255458635314,-0.202113767049028,0.169064423322272,-0.475316998760365,-1.22681942485978,-1.22701394770659,-0.965854673530282,-0.0407645085136391,-1.25074385823637,-1.04601956800813,-0.941968623681414,-1.12926194426928,-1.21166261479796,-2.02500210718095,1.18336689919352,0.302926518449273,-0.195244215110924,0.690467446714862,0.950938309477244,-1.884874067632,-0.843546453418742,0.20034311764181,0.468348922087996,-0.35352747990148,-0.203245185845096,-0.779720898039115,1.09550856937172,1.00536480456352,1.16878097221793,2.91668411433389,-0.505007851910677,-0.514827409503113,1.38795083472901,0.312308354285896,-0.911011310179613,-0.0164391973311041,0.884982102143955,-0.0572104086393624,0.545607464834392,0.667378549520328,"high","high","1","4"
"high-intensity forest",43,5328284,3732465,0.112180222660454,-0.0598308708016678,-0.413849148672839,0.0421704497427189,-0.729575883587931,-1.17588693934945,-1.15155707137597,-0.953369665128029,0.1924217690536,-1.14255678897526,-1.04862004810068,-0.86206448555816,-1.11921074773904,-1.69478548556219,-2.61995235726372,1.43918902800219,0.0819468097109268,-0.423948630539492,0.752871928555507,0.86302308115755,-1.45193705975868,0.414320482279244,-1.95042201309538,-0.164759618203099,-0.311910742198051,-0.564790944408471,-0.544807488839949,0.262729887496565,1.07357624004125,1.25823905718999,2.32101816448432,0.145233620848607,0.096219369062747,1.59358099918014,-0.166677856795593,0.0603996519308075,0.551745851138275,1.54801860391814,-0.423166107159278,-0.348369966436409,-0.450731726827423,"high","high","1","4"
"medium-intensity forest",42,5308284,3730465,1.07516076497362,-0.00724775006772865,-0.320439466787584,0.122816368065299,-0.665714041200308,-1.21546846095599,-1.30716668802799,-0.960997088642111,-0.0113956402500104,-1.22193032410923,-1.05813008626788,-0.920996818283621,-1.08969312631284,-1.60069001570145,-2.56955724214522,1.45562425610964,0.181914503872933,-0.360202631827345,0.785222683122544,0.918896533003836,-1.33158792961753,-0.304255365976368,-0.797862994080396,1.53372199207486,0.679192740848901,-0.612148927717225,-1.06154580795705,1.61538821078506,1.02997375041908,2.21611135941012,2.2436601902522,-0.463562617529453,0.351915095356321,1.12625320210742,-0.197888645972747,0.428238319384516,-0.42800417713755,0.582270938181238,0.238445308061218,-0.125955837647228,0.0655149030563899,"low","medium","1","3"
"medium-intensity forest",42,5269284,3722465,-2.2988684707253,0.0220341130843107,-0.292857440216382,0.109108454550526,-0.584115262405446,-1.02352939072897,-1.16493938997584,-0.792211172676939,-0.242014131064302,-1.0640385093555,-0.916522130955243,-0.802072368603049,-0.857427361456811,-1.32221808809006,-2.20448109979946,1.26405650991322,0.216150144052005,-0.293569903312492,0.727960767678626,0.909399357429281,-1.81346894717696,0.169054173137201,-0.270083221364458,0.606835273957946,-1.56048786755074,0.401801919669668,0.187586323850247,0.0783648710083518,-1.24971146265186,0.672588906768523,-0.602418284406139,0.750383627266772,0.716734409865999,-0.648826770686711,-0.124200646872455,1.25554371180794,-0.621405687468277,0.14767703345368,0.799534345831063,-0.283705808182967,-0.634174458670371,"low","medium","1","3"
"medium-intensity forest",42,5270284,3721465,-0.861162626514513,0.0220341130843107,-0.292857440216382,0.119859680788063,-0.584115262405446,-1.02635175576584,-1.16538548034367,-0.794238747984773,-0.242014131064302,-1.06651853494106,-0.918358150158591,-0.803993261034132,-0.859497470539773,-1.32305848126736,-2.21470474159535,1.28192035109207,0.220747520363178,-0.293569903312492,0.733915732271343,0.916848068212991,-1.61786546994494,0.608110004333615,-0.286352604086725,1.49369853061814,-0.1841638546879,0.543952382306755,-0.237816894092604,2.16886785251057,1.07593477668815,0.890862396298966,2.04012295416665,0.393980049165203,0.368383927329364,1.18647046766994,-0.197444945519616,-1.23716308689809,-0.785245099491247,1.47708913642514,0.202257705161028,-0.466125093186621,-0.73628544110722,"low","medium","1","3"
