"Species","SLA","PlantHeight","SeedMass","LDMC","StemSpecificDensity","N","P"
"Abies alba",1.72959731543624,3.6555033557047,4.09308724832215,-1.18939597315436,-0.704697986577181,2.55268456375839,0.346040268456376
"Abies grandis",1.54826086956522,4.18739130434783,2.93434782608696,-1.14173913043478,-0.678695652173913,2.62521739130435,0.141304347826087
"Acanthus mollis",0.75,-1.00333333333333,5.34,-1.18,-0.773333333333333,3.15666666666667,-0.556666666666667
"Acer campestre",2.66640350877193,2.61342105263158,3.85333333333333,-1.08833333333333,-0.54780701754386,3.03078947368421,0.607719298245614
"Acer monspessulanum",2.43,2.1475,3.5185,-0.8435,-0.19025,2.95725,0.45425
"Acer negundo",3.08453608247423,2.18412371134021,3.34773195876289,-1.10824742268041,-0.70360824742268,3.37237113402062,0.735567010309278
"Acer opalus",2.76296296296296,2.37481481481481,4.52518518518518,-1.03444444444444,-0.362592592592593,3.12888888888889,0.519259259259259
"Acer platanoides",2.96403225806452,3.23306451612903,4.945,-1.0108064516129,-0.56758064516129,3.0358064516129,0.563870967741935
"Acer pseudoplatanus",2.65792134831461,3.33168539325843,4.17983146067416,-1.05522471910112,-0.602134831460674,3.22050561797753,0.669438202247191
"Achillea clavennae",2.77833333333333,-1.89166666666667,-1.26833333333333,-1.44333333333333,-5.64,2.93333333333333,0.81
"Achillea millefolium",2.72354430379747,-0.921350210970464,-1.99443037974684,-1.40548523206751,-5.75151898734177,3.00548523206751,0.862405063291139
"Achillea nobilis",2.98333333333333,-0.712222222222222,-3.04888888888889,-1.41111111111111,-5.57222222222222,3.00555555555556,0.965555555555556
"Achillea ptarmica",2.77918918918919,-0.400540540540541,-1.83081081081081,-1.56,-5.65891891891892,3.04,0.937567567567568
"Acinos alpinus",3.03125,-1.65,-1.5,-1.46125,-2.9025,2.78875,-0.2525
"Aconitum degenii",2.9,0.286666666666667,-0.123333333333333,-1.75666666666667,-1.23,3.37666666666667,0.653333333333333
"Aconitum napellus",3.04037037037037,0.105925925925926,1.17962962962963,-1.79481481481481,-1.18814814814815,3.40703703703704,0.693703703703704
"Aconitum vulparia",2.985,0.03,1.38,-1.835,-1.185,3.31,0.535
"Actaea spicata",3.56525,-0.7035,2.76125,-1.42075,-1.247,2.987,1.15925
"Actinidia chinensis",2.77333333333333,3.62,0.276666666666667,-1.32666666666667,-1.24,3.03333333333333,0.15
"Adenophora liliifolia",3.25666666666667,-0.191666666666667,-1.42333333333333,-1.805,-0.451666666666667,3.425,0.356666666666667
"Adenostyles alliariae",3.27615384615385,-0.0907692307692308,0.486153846153846,-2.14692307692308,-3.76307692307692,3.22923076923077,0.809230769230769
"Adenostyles alpina",3.36666666666667,-0.0766666666666666,0.166666666666667,-2.24,-3.88666666666667,3.28,0.833333333333333
"Adonis vernalis",2.73555555555556,-1.06055555555556,2.16,-1.08777777777778,-1.14111111111111,3.26166666666667,-0.235555555555556
"Adoxa moschatellina",3.64805555555556,-2.385,2.50027777777778,-2.05638888888889,-0.410555555555556,3.67055555555556,1.49694444444444
"Aegilops geniculata",3.24789473684211,-2.33421052631579,2.54894736842105,-1.35263157894737,-3.61578947368421,3.45263157894737,0.870526315789474
"Aegilops neglecta",3.42833333333333,-1.05,2.93666666666667,-1.46666666666667,-3.515,3.26833333333333,1.095
"Aegilops triuncialis",3.16875,-1.95375,2.47,-1.38875,-3.57375,3.19125,0.75875
"Aegopodium podagraria",3.36337209302326,-0.367093023255814,0.845,-1.47720930232558,-3.1106976744186,3.34790697674419,1.44662790697674
"Aesculus hippocastanum",2.58941176470588,3.23905882352941,9.30164705882353,-1.138,-0.729294117647059,3.14576470588235,0.478941176470588
"Agrimonia eupatoria",2.8410447761194,-0.594179104477612,2.05746268656716,-1.11462686567164,-4.54731343283582,2.92014925373134,0.606716417910448
"Agrostis agrostiflora",3.26,-0.885714285714286,-2.92428571428571,-1.25714285714286,-1.67285714285714,3.23285714285714,0.845714285714286
"Agrostis alpina",3.26,-1.92666666666667,-2.795,-1.19833333333333,-1.65333333333333,3.16833333333333,0.808333333333333
"Agrostis canina",3.37290909090909,-1.00472727272727,-3.16436363636364,-1.32418181818182,-1.80054545454545,3.17618181818182,1.072
"Agrostis capillaris",3.35902597402597,-1.08733766233766,-2.86694805194805,-1.23,-1.49564935064935,3.17506493506494,0.760779220779221
"Agrostis castellana",3.262,-0.951,-1.736,-1.241,-1.791,3.153,0.806
"Agrostis curtisii",3.10625,-0.75125,-2.6625,-1.165,-1.57375,3.09,0.74375
"Agrostis gigantea",3.089,-0.705333333333333,-2.59166666666667,-1.39666666666667,-1.69466666666667,3.18466666666667,0.783333333333333
"Agrostis rupestris",2.73,-2.77666666666667,-2.22777777777778,-1.21666666666667,-1.68666666666667,3.1,0.774444444444444
"Agrostis stolonifera",3.24246913580247,-0.963456790123457,-3.5979012345679,-1.22987654320988,-1.48222222222222,3.31481481481481,0.597777777777778
"Agrostis vinealis",2.90371428571429,-1.20514285714286,-3.11571428571429,-1.12914285714286,-1.83,3.25,0.816857142857143
"Aira cupaniana",3.034,-1.918,-3.176,-1.308,-3.712,2.814,0.356
"Aira praecox",3.03826086956522,-2.06739130434783,-2.59152173913043,-1.3195652173913,-3.65478260869565,2.81434782608696,0.296521739130435
"Ajuga genevensis",3.37352941176471,-1.49588235294118,0.0235294117647059,-1.95176470588235,-2.81117647058824,3.05235294117647,1.45647058823529
"Ajuga reptans",3.49274509803922,-1.76352941176471,0.417450980392157,-1.80725490196078,-2.65470588235294,3.01509803921569,1.26450980392157
"Alcea pallida",2.5325,0.595,2.15,-1.5275,-0.7375,3.27,1.0225
"Alchemilla alpina",2.63971014492754,-2.17130434782609,-0.996086956521739,-1.18710144927536,-1.15913043478261,2.95710144927536,0.694347826086957
"Alchemilla conjuncta",2.834,-1.74,-0.6,-1.372,-1.112,3.028,0.822
"Alchemilla filicaulis",2.94555555555556,-1.70555555555556,-0.845555555555556,-1.26555555555556,-1.18055555555556,2.91333333333333,0.78
"Alchemilla flabellata",2.95,-1.56,-1.01,-1.38,-1.18,2.96,0.8
"Alchemilla glaucescens",2.8872,-1.8904,-0.8184,-1.204,-1.104,2.8884,0.7024
"Alchemilla glomerulans",2.98666666666667,-1.03666666666667,-0.733333333333333,-1.35666666666667,-1.03,3.05,0.783333333333333
"Alchemilla hoppeana",3,-1.56,-1.05,-1.39,-1.15,2.96,0.82
"Alchemilla hybrida",2.79,-3,-0.92,-1.27,-1.1,2.83,0.68
"Alchemilla xanthochlora",3.14095238095238,-0.513809523809524,-1.05714285714286,-1.56619047619048,-1.15190476190476,3.06380952380952,0.704761904761905
"Alliaria petiolata",3.73140350877193,-0.55280701754386,0.885964912280702,-1.86,-1.1780701754386,3.61105263157895,1.10421052631579
"Allium carinatum",3.07142857142857,-0.850714285714286,0.197142857142857,-2.22142857142857,-2.62857142857143,3.51714285714286,1.09642857142857
"Allium ericetorum",2.66,-0.526666666666667,0.45,-2.03,-2.35666666666667,3.72666666666667,1.27
"Allium oleraceum",2.45619047619048,-0.675714285714286,1.88428571428571,-2.04571428571429,-2.41428571428571,3.60714285714286,1.04380952380952
"Allium paniculatum",2.74,-0.555,0.27,-1.9975,-2.415,3.7275,1.145
"Allium scorodoprasum",1.5912,-0.4276,0.356,-1.6284,-2.3552,3.5716,1.0828
"Allium sphaerocephalon",1.8222641509434,-0.935094339622642,0.41188679245283,-2.01132075471698,-2.45264150943396,3.56,1.04792452830189
"Allium triquetrum",3.26333333333333,-0.9,0.166666666666667,-2.17,-2.46333333333333,3.67666666666667,1.15
"Allium ursinum",3.56462962962963,-0.961666666666667,0.766666666666667,-2.28907407407407,-2.41055555555556,3.80925925925926,1.22981481481481
"Allium victorialis",2.70666666666667,-0.787777777777778,0.9,-2.08333333333333,-2.27444444444444,3.59444444444444,0.953333333333333
