"loc","Latitude","Longitude"
1,47.7801,6.079429
2,52.146796,6.298581
3,48.303889,17.891667
4,55.960779,48.992196
5,55.920719,49.017795
6,55.915993,48.74865
7,55.920007,49.018558
8,55.827806,48.9381
9,55.901741,48.712627
10,55.869366,48.762
11,55.906618,48.820016
12,55.302139,49.239219
13,55.336069,49.197241
14,55.884274,48.802706
15,55.932119,49.158103
16,55.884472,49.649998
17,55.876146,48.719874
18,55.869151,48.771273
19,55.903306,48.709182
20,55.883471,48.717402
21,55.885601,48.776097
22,55.873017,48.732444
23,55.87029,48.778844
24,55.893263,48.777693
25,55.650698,49.549885
26,55.770527,49.429464
27,55.770369,49.430651
28,55.77336,53.301557
29,55.459176,49.019061
30,55.459022,49.026848
31,56.195152,50.132596
32,55.233677,48.149249
33,55.851561,48.817742
34,55.097958,52.509273
35,54.351998,53.279725
36,54.446384,53.262586
37,55.146875,52.729812
38,55.131994,52.725447
39,55.127715,52.726162
40,54.426651,52.745193
41,55.880038,48.727496
42,55.8823,48.71244
43,55.807114,51.703868
44,54.196725,53.044871
45,54.693006,50.08091
46,55.742519,51.944309
47,55.922762,49.129872
48,55.985841,49.447875
49,55.451108,50.651619
50,55.800599,52.416339
51,54.51731,50.367483
52,54.414072,52.601755
53,55.802376,52.399701
54,55.790148,52.296578
55,55.800635,52.277286
56,55.78874,52.253387
57,55.788301,52.259116
58,55.719421,52.206723
59,56.203878,49.134744
60,56.190436,48.970458
61,49.24794,26.17844
62,49.22478,26.18186
